Date,AGO,ALB,ARE,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KIR,KOR,LAO,LBN,LBR,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SDN,SEN,SLB,SLE,SLV,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.903648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.476345,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,37.903484,,,,,,,,,,,,,,,,,,,,,,,,,,29.268875,,,23.452871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.880793,,,,,,,,,,,,,,,,,,,,45.96252,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.567991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.319294,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,40.505714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.27651,,,,,,,,,,,,,,,,2.6904137,,,,,,23.270271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.422604,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.417875,,,,,,,,,,,,,,,,,,,,,,25.49158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.406773,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,42.141174,,,,,,,,,,,,,,,,,,,,,,,,,,34.828938,,,24.588326,,,,,,,,,,,,,,,,,,,,,17.738117,26.771048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.978226,,,,,,7.946477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.57227,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.436148,,,,,,,,24.938335,,,,,,,,,,,,,,,,,,,,,,27.651846,,,,,,,,,,,,,,,,,,,,2.3734994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.30716,,,,,,,,,
1981,,,,,35.168285,,,,,,,,,,,,,4.990563,,,,,43.881153,,,1.1372415,,,,,,,,4.5700245,,,,,,,,,,,,,,,,,,24.719622,,,,,,,,,,,,,,,,,,,,,,27.090202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.131878,,,,,,4.397036,,,,,,,,,15.270625,,,,,45.933746,,10.151811,,,,,,,
1982,,,,,,,,,,,,,,,,,,5.025797,,,,,42.979683,63.24248,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.155264,,,,,,,,,,,,,,,,,,,,,,28.804176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.12054,,,,,,,,,
1983,,,,,,,,,,,,3.0885346,,,,,,4.1259184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.030561,,,,,,,,,,,,,,,,2.97173,,,,,,29.000715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.75023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.59237,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,4.1534314,,,,,43.073723,,,1.5522991,,,,,,,,,,,,,,,,,,,,,,,37.48958,,,27.224224,,,,,,,,,,,,,,,1.6086632,,,,,,,29.589636,,,,,,,,,,,,,,,,,,4.825668,,,,6.696629,,,,,,,,,,,,9.761444,,,,,,,1.8335901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.520126,,,,,,,,,
1985,,,,,35.588398,,,,35.94146,,,3.2822175,,,,,,4.7289424,,,2.9904585,,44.21029,,,,6.710549,,,,,,,,,,,,,,,,,18.837927,,,,,,,,27.557507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0756235,,,43.384773,,,,,,,,,,,,,,,,,,,,,2.9414232,,,,,,,,,,,3.3618662,,14.650275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38296,,,,,,,,50.001457,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,7.9294677,,,,,44.5168,,,,6.1477485,,,,,,,6.075552,,,,,,11.288053,,,,,,,,,,,,29.405293,,,,,,,,,3.2077734,,,,,,,,,5.7887497,,,17.45568,28.191624,,13.64715,,,,,,,,,,,,2.1418993,,47.592228,,,,,,,,,,,,,,,,,,,,,,,,40.056175,,,,,,,,,,14.856366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.401674,,,,,51.48332,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,6.0500474,,,,,45.557976,,5.848258,1.8832358,5.4749985,,,,,,,,,,,,49.00983,,,,,,,,36.905216,,,,,30.242697,,1.8898523,,,,,,,,,,,,20.36956,1.6395328,2.9434428,16.44974,,,,,32.423504,,,,,,,,,,,,,,,,52.206425,,,,,,,,,,,,,,,2.953438,,,9.582014,,,,,38.412518,,,,,,1.852203,,,,,14.870645,,,,,,,,,,,,,,,,,,39.51967,31.582363,,,,,,,,,,,,,7.408589,,,,,,,53.451954,,9.362673,,,,,,,
1988,,,,,,,,,37.84417,,,2.9631956,,,,,,5.671399,,,,,46.48085,,,,4.4927497,,,,,,,,,,,,,,6.293222,,,,,,,,,,,32.013416,,1.9086236,,,,,,,,,,23.936182,,,,,,,,,,,6.8980613,,,,,,,,,,,,,,,54.163048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.487495,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6066093,,,,,16.714436,,,,,,,,,53.709267,,,,,,,,,
1989,,,,,36.65997,,,,,,,,,,,,,6.1056075,,,,,47.81169,,,,,,,,,,,7.927187,,,,,,6.0910406,,,,,,,,,,,,33.050034,,,,,,,,,4.6622367,,3.0406945,,,9.272492,,,,,,,,35.655468,,,,,,,,,,,,,,,,55.775986,,,,,,6.866674,,,,,,,,,,,,9.553721,,,,,,,,,,,,6.156668,,,,21.254705,,,,,17.787334,,,,,,,6.1872177,,,,,,,,,,,,,,,,,,,,,,,,1.8745297,,,53.963505,,10.831895,,,,,,,
1990,,,,,,,,,,,,,,,,,,5.2624617,,,,,47.73111,,6.8003564,1.725827,,,,,,,,8.104961,,,,,,,,,5.956719,25.502808,,,,,40.219975,,,33.37891,,,,,,,,,,,2.8732212,,,,1.9801214,,,5.5596514,,,,,6.4157968,,,,,,,,,,,,4.177826,,,59.73675,,6.362291,,,,,,,,,,,,,,,,,,,,,45.032673,,,,,3.52,1.9303403,,,,,,,12.009541,,,,,,,,,,,,,,,,,,,,,,,4.8873553,,,,,,6.2041497,,,,,,,,52.467056,,,,,,,,,
1991,,,,,,,,,,,,2.9557061,,,,,,,,,,,45.79922,,,,,,,,,,,7.3328857,,,49.55913,,,,,,,,,,41.02919,,,,,34.507523,,1.6923785,1.1287172,,2.9353993,,,,,,3.6248925,,,17.203197,,,,,,,,35.76298,,,,,,,,,,,,,,,,60.52131,,,,,,,,,,,,,,,,,,,,,,,,42.313812,,,,3.54,,6.51416,,3.576181,,,,,,,,,,,1.469486,,,5.1267614,,,,,,,,,,,,,,,,,,,,,,33.86943,2.0400734,,,,52.607883,,,,,,,,1.8626359,
1992,,,,,,,,1.6373081,41.070175,,,,20.136791,,,,,5.292223,,,,0.8477165,46.39669,63.071125,7.690908,,3.602879,,,,6.7137938,,,7.7377763,,19.194328,50.615997,,49.106,8.136589,,,,,,,,,,,,33.671402,,,,,,,,,,4.1783185,3.9420488,,,,,,,,,,20.926476,,,9.558452,,,4.535299,,,,3.370677,,,,,,,62.23904,,,,,,7.5061297,,,,,,,,,,,,10.339615,,1.498606,2.670524,,,,,,,3.58,,,,,,15.771724,,,,,11.584916,,,,,,,,,,,,16.257086,,37.114872,,,,,,5.6281624,,,,,12.171705,,,,,,1.7372886,6.8882537,,52.293064,,9.999071,2.7037113,,,,,,
1993,,,,,,,,,,,,,,,,,,5.4399867,,,3.6356685,,45.06467,,,1.8849736,,,,,,,,8.911229,,19.197079,50.635136,,,,,,,27.465399,10.067221,,,,,,,33.4315,,,,,2.828196,,,,,,4.6139913,,,13.87866,1.9911313,3.078058,,,,,,35.043365,5.1269474,,,5.771206,,,,,,,,,,,5.297185,62.32033,8.500325,,,1.5508502,,,,,,,,,,,2.7910824,,,,2.078903,,,3.2297516,42.92646,,,,,3.62,,,,,,,,,,,,11.13069,,,,,,,,,,,,22.250164,,,,,,,,,,,,,,,,,,,6.800721,,51.600204,,,,,,,3.5113344,1.9293066,
1994,,,,,,53.196686,,,,,1.0346874,,,,,,,,,,,,46.095375,,8.350959,,,,,,,,,9.922919,,,50.606735,,,,,5.888305,,27.830128,,,,,,,,35.939613,,,3.8459463,,,,,,,,4.5380125,,,14.891711,,,22.491285,6.4129443,,,,,,,,,4.157751,,,,,,,,,2.0920525,,60.000126,,,,,,7.7514277,,,0.91812456,,,,,,,,,,,1.2160673,,,,,,,,3.7,,,,3.7053318,,,,,,,4.7417436,,,,2.05265,,,,,,,,,,,0.8559353,,,,,6.4904895,,,,,,,7.6434703,,,,,,,52.536674,,,,,,,,,
1995,,,,,33.749374,53.111794,5.0028763,,47.55007,,,3.253285,,,,8.638168,,7.2257648,,,,,46.038464,,,,3.6285956,,,,,,,9.643549,,,51.278576,,50.81869,,6.518008,,5.8192205,27.16791,,2.0173125,37.351402,,,,,36.15547,,,,,,,25.126577,,,,4.3563104,,,,,,22.77631,,,,,34.043915,,,,,,,,,,,,3.5179563,4.308536,,,60.906578,9.953108,,,,,,,,,,,,4.8801274,,4.0640373,,,10.628765,,,,,,42.60802,2.1949918,,,3.82,,8.49758,,,,12.530234,,8.470029,,,8.944097,,,,,,,6.3432655,,,,,,,35.57738,,,,,,,,,,,,6.1023164,,,39.72731,,,6.3074274,,53.018784,,7.4045525,,,,,,,
1996,,7.4193306,,,,51.088028,,,,,,,,,,,,7.336615,,,,,43.35663,,9.354178,2.4672213,,2.695691,,,5.6484704,,,8.993861,,22.678225,52.03259,,,9.923345,,,,27.460592,,,,,43.694782,,,37.841774,7.0902066,,,,,,,,,,4.088837,,,,2.3127708,,24.840807,,,,,,7.1348267,,,5.7901044,,,,,,,,,,,,60.92473,9.679625,,,,,5.8096166,,,,,,,,0.96722835,,,,,,,2.3408797,,,,,,,3.9,3.1555247,,,,2.215887,,,,,,,11.194725,,,,,,6.153914,,,,,16.456554,,,,,9.291925,,,7.1348886,,,,,,,,,,,1.7612693,5.5392904,,53.518677,,,,,,,,2.6350677,
1997,,,,,,51.43359,,,47.17243,,,,,,,,8.40879,7.256575,,,,,43.897587,,,,,,,,,,,9.629192,,,50.95688,,,10.710064,,,,29.04149,,,,,43.974533,,,38.99856,4.622978,,,,,,,,,,5.2976227,,,,,,,,,,21.500778,,,9.22438,,,4.1563973,,,,2.5896962,,,,,,,61.8494,,,5.1890755,1.6572734,,,,,,,,,,,,,2.3479404,13.101493,,,,,,,,,,3.96,,8.398922,5.673167,4.366289,,,,10.08856,,,8.206376,11.281386,,,,,,,,,,,,27.335867,,,,,,,,,,,,,,,,41.74807,,,,,54.86171,,,3.4775908,,,,,,
1998,,,,,,52.055157,,1.4016762,,,1.257834,,,,3.530649,,,7.525867,,,,,45.243168,,9.928997,,3.1942797,,,,,,,10.603383,,,52.21471,,,,,,,31.13461,,,,,45.03183,,,40.435978,4.737188,2.200848,,1.5730432,,,,,8.973522,7.704885,5.18911,,,,1.8069016,,,6.8113885,,,,36.321056,,,,,,,,,,,,,,,,63.425236,,5.3910246,4.118547,,,6.3174534,,,,,,,3.4578109,,,,,,,,,4.2107983,,,,,,3.96,2.9934523,8.268877,5.647685,,,,,,,,,10.186705,,,,,,6.131917,,,,,,,,,,,,,7.2965856,,3.8281884,,,,,,,,,,,,57.243656,,7.7974,,,,5.558853,,2.5752726,
1999,,,,4.5130086,,54.83327,,,,,,,,,3.8123033,,7.733987,7.2347584,,,,,46.823692,,,2.5682042,,,,,5.2025976,,,10.057338,,,53.390266,,,,,5.3218617,6.9925966,33.06145,,2.4897752,,,45.55888,,,41.259808,4.1121573,,,,,,,,,,4.8981705,,,13.911939,2.4543056,,,,,,,,9.007756,,,,,,,,,,,,,,,66.48555,,,3.3138132,1.6801977,,,,,,,,,,,,,,,,,,,50.66956,,,,,3.98,,8.791229,5.57326,,,15.324147,,8.944763,,,,8.211843,,,,,,6.4672894,,,,,,27.448431,,,15.683152,,,,6.8029203,1.954403,,,,,,,,,,1.633022,,,58.344913,,7.068014,,,,,,,
2000,5.30038,,,,,53.46281,,,51.401764,,,3.3425155,,,4.2452307,,6.575484,,,,,,47.990864,61.29355,9.322,,,,,,5.715215,,,10.053187,,,54.458363,,53.903194,10.573365,,4.2885375,,34.810894,,,42.230675,,46.66337,,,43.590435,3.9286213,,,,,,28.891415,,10.1610985,,,,,,2.4639466,,32.66612,,,,,37.48971,,,,,,2.3991187,,,,,,,,,,65.330574,,5.383825,3.4334157,,,7.3779116,,,,,,,,,4.2503138,,,,,,,,,50.429913,,,,4.1,,9.177067,5.661218,4.3185143,,,,,,,,9.0216675,1.4933084,,,,,7.293106,,,5.121593,,,,39.427227,2.1912568,,,,,6.727949,,,,9.9420805,,7.295359,,,43.705616,1.3676329,,,,58.785065,,,,,,,3.1890016,,
2001,,,,4.3352914,38.27444,,5.688616,,,,,,,12.271811,5.286056,,7.41622,8.2352295,,,,,49.48147,,,,,4.216399,,,4.901493,,3.925944,12.365436,,,53.310677,,,10.455576,,,,,,,,,47.8731,,,45.286922,3.7505476,,,,,,,,,,6.372522,,1.5323484,,2.5657218,,,,,,24.208405,,,,,5.0986347,,2.583809,,,,,,,,,,66.404076,,,3.9792497,1.4217137,,,,,2.0566967,,,,,,,,,,,,,4.945442,,,,,,4.2,2.7951918,8.189102,5.3829794,,,,,9.151673,,,,10.099348,,,2.330083,,,6.999909,,,,,,,40.716614,,,,,,,,,2.740077,,,,,,,,,,,58.462826,,7.3858223,,,,,,,
2002,,7.1171546,,4.5468674,,,8.0622635,,,,,,,,5.820306,,7.0487657,8.341972,,,4.2979746,,49.809498,65.71595,,3.1151621,,,,,6.094943,,,12.374887,,25.111355,54.47101,4.0830717,,10.381832,,,,,,,,8.023133,49.10136,,,45.799927,4.957848,,2.9889593,,2.2580032,,,,,,5.434361,,,,3.0991957,,36.392292,,,,21.896387,37.692814,8.912768,10.693105,,5.3827014,,2.6340652,,,3.2795947,,,,4.7070417,1.5895003,,69.92752,,,5.095847,,4.8117075,7.794373,,,,,,,5.118415,1.2577331,,,,,,,,,,,,,,4.34,,8.763782,5.967268,,,,,6.9485726,,,,10.998626,,,,,,7.005431,,,,,,,42.093452,,,,,,7.8282666,,,,,,,8.242091,,,,1.6988745,6.3891664,,59.197712,,5.99212,3.2851188,,8.008149,,,2.18325,
2003,,,,4.790289,39.580814,56.889103,8.40511,,50.694218,2.1649947,2.0460794,,,,6.113566,,,8.113929,,4.8545265,,,49.88897,,9.497885,,,,,,6.171359,,,12.901104,,,54.224663,,52.042614,8.659206,,6.7523317,,37.64997,13.182454,,44.567554,,45.42742,,,46.86582,4.991062,,,2.701689,,,33.70052,,,,4.7807374,,,,3.1548707,,37.048294,,,47.206203,22.27129,45.67875,,,,5.894943,,2.8024616,,,,,,,,,,70.00615,,,6.033023,,,,,,,,,,,,,,,12.726253,3.1720653,,2.9403768,,,53.804634,2.7393167,,,4.48,,8.989044,6.0688562,4.536903,,,25.16939,8.068451,,,,11.636039,,,,,2.0190394,6.855812,,,,,,,39.950855,,,11.242495,2.175593,,,2.749305,,,,,,7.6997123,,,,,7.108474,,59.45434,,5.2363305,,,,,,,
2004,,,,5.5517464,43.337273,59.684605,8.458694,,52.338894,,,,,17.721966,6.998197,,8.427477,8.36491,,,,,51.088825,62.943737,,,,,0.7963247,,6.1861715,4.6293383,,12.243718,42.289024,26.80902,54.468906,,53.368603,7.348082,,6.614198,6.2192187,36.894367,14.9150505,3.352716,46.15105,,46.596565,,,48.182396,5.222381,,,,,,35.01727,,,,4.9476852,,,17.046137,3.1506178,3.1112072,38.034966,,,47.00607,23.19731,47.255333,9.278015,,,6.322513,,3.8630905,,,,,,,,,12.790731,72.24223,12.064925,,6.0419536,,,8.240767,,,,,,,,,4.2275553,,1.9834486,,,,,,51.20265,53.79931,,,,4.7,3.3107002,9.372481,6.0779047,,,15.726754,25.639717,8.247722,10.82241,,,12.510394,,,,,,7.0878553,,,,,17.03526,33.836594,40.21779,,,,,,8.826661,3.6100957,,,,,,9.899648,,,,,8.0161,,58.857773,,5.9215183,3.9899423,,,,,1.819541,
2005,,8.300112,,6.250577,,57.865967,9.349519,,53.15002,,,3.7180283,,,8.565606,,8.427503,8.848527,,,,,52.5354,,,4.1398015,,,,2.733214,6.7698426,,,12.805793,44.786926,27.730648,53.71261,,53.53167,8.850391,,7.975298,,38.688236,17.063906,,48.162468,,46.373043,6.491548,7.284913,49.116035,5.0432925,2.46647,,,,,34.84893,,,,5.2943482,,,17.935633,3.334725,,38.962624,10.478521,,48.97421,23.797024,47.078568,,,,6.293691,3.335051,3.5634933,,,,,,,,,14.991987,74.5447,13.314066,,5.3628893,1.5158635,,8.591861,,,,,,,,,,,,,,1.4541327,,6.1068645,51.81637,55.89902,,,,4.9,3.3117988,9.421362,5.751792,,,16.881899,25.34906,8.938895,11.2668295,,,13.400414,1.8001628,,2.8237565,2.3558502,,7.1633124,,,,,18.477001,35.139336,41.23993,,,,,,,,,,,,8.436935,10.295534,,43.129772,,1.9622552,9.454845,,59.292313,,7.353179,,,,4.5611496,3.624245,,
2006,,,,6.7100363,,58.128075,,1.7132936,53.25091,,,,10.444282,,9.8199005,,9.353911,9.639216,,,,,53.015675,65.60336,11.619168,,,,,,,,,12.853898,48.644596,29.153849,54.261898,,54.555897,9.659406,,8.870972,,38.4669,20.001396,,48.93332,,46.112534,,,49.458508,4.938965,,,,,,35.280785,,10.585234,,6.181689,,,18.611465,3.1211016,,42.702843,10.477865,9.911459,54.686108,24.73711,47.837177,,12.203602,,7.722788,,4.3759637,4.914779,33.697254,,,,,5.593586,,18.59119,73.10198,16.538984,6.5149207,9.290075,,,9.0068,,,2.3685353,33.37971,,,,,,10.883299,,14.314588,,,,,54.034687,58.269863,,,,5.1,,9.448233,6.5334806,4.4972625,,18.26788,25.888783,8.217414,11.345795,,8.922111,14.746941,,,,,,7.3828464,,,,,20.785458,36.437992,43.224365,,14.180899,11.642912,,2.1111562,10.092719,,,,,,,10.842563,,,,,10.155931,15.4720545,59.95192,,9.385901,4.60619,,,,,1.6569356,
2007,,,,7.3534274,,60.751087,,,53.7829,,,,14.138472,19.653294,11.076935,,9.839085,10.328,,6.3170033,,,55.279106,66.44995,,,,3.8961246,,,,,4.894951,14.182935,48.912468,30.587233,54.76077,,55.439575,9.496372,,9.030079,,45.32484,23.148119,,50.506977,,53.174347,,,50.945343,4.783718,,3.293589,,,,36.918922,,,,6.6760507,,,18.216906,3.3565333,,42.124958,,,58.43252,25.983633,48.848152,,,,9.011775,,4.45913,,,3.5921223,,2.5770507,,,,21.961145,74.29888,21.537722,,10.628487,,,,,,,36.140034,,,7.9143896,,,,,,,1.6370789,,,57.12459,62.59568,,,,5.35,3.536452,10.452726,7.414462,,,20.445694,27.18889,8.82633,10.386619,,9.825953,16.558481,,,,,,7.825558,,,,,21.78041,38.38208,45.41499,,,,,,10.3423605,4.2920527,,2.6460972,,,,11.609272,,40.965775,2.4608622,,9.948113,16.713425,60.296795,,,,,,,,,
